job_opportunity_id,descricao_vaga_area,inicio_inscricoes,termino_inscricoes,setor_empresa,name,Interesses
2666,Estágio na Área Compras - Contagem,2023-02-23 11:17:37.000000,2023-03-24 01:58:00.000000,Máquinas e Equipamentos,Estágio,Comercial / Vendas
2670,Estágio em Comunicação -  Nova Lima,2023-02-23 11:25:44.000000,2023-03-24 02:59:00.000000,Máquinas e Equipamentos,Estágio,Marketing / Comunicação
2961,Planejamento em Supply Chain - Diadema/SP,2023-06-06 12:05:48.000000,2023-08-14 02:59:00.000000,Engenharia,Estágio,Logística / Supply Chain
2672,Estágio em  Engenharia Logística - Contagem,2023-02-23 11:29:36.000000,2023-03-24 02:59:00.000000,Máquinas e Equipamentos,Estágio,Logística / Supply Chain
2680,Estágio em Plataforma de Novos Produtos – Sorocaba,2023-02-23 15:24:46.000000,2023-03-24 02:59:00.000000,Máquinas e Equipamentos,Estágio,Tecnologia
2674,Estágio em Engenharia de Manufatura - Contagem,2023-02-23 11:33:18.000000,2023-03-24 02:59:00.000000,Máquinas e Equipamentos,Estágio,Engenharia
2682,Estágio em Controladoria – Sorocaba,2023-02-23 15:29:27.000000,2023-03-24 02:59:00.000000,Máquinas e Equipamentos,Estágio,Administrativo
2688,Estágio em Pricing (Precificação) – Sorocaba,2023-02-23 15:43:54.000000,2023-03-24 02:59:00.000000,Máquinas e Equipamentos,Estágio,Comercial / Vendas
2690,Estágio em DPS – Sorocaba,2023-02-23 15:50:58.000000,2023-03-23 15:50:00.000000,Máquinas e Equipamentos,Estágio,Administrativo
2698,Estágio Área Comercial - Curitiba,2023-02-23 16:13:01.000000,2023-03-23 16:12:00.000000,Máquinas e Equipamentos,Estágio,Comercial / Vendas
2708,Estágio em Logística - Curitiba,2023-02-23 16:34:37.000000,2023-03-23 16:34:00.000000,Máquinas e Equipamentos,Estágio,Logística / Supply Chain
2707,Estágio em IT - End User Services - Curitiba,2023-02-23 16:32:28.000000,2023-03-23 16:32:00.000000,Máquinas e Equipamentos,Estágio,Tecnologia
2805,Estágio em Engenharia Logística – Sorocaba,2023-04-04 14:25:03.725945,2023-04-09 14:24:00.000000,Máquinas e Equipamentos,Estágio,Logística / Supply Chain
2815,Estágio em Qualidade e Comportamento do Produto / Contagem,2023-04-17 12:45:00.000000,2023-05-14 12:45:00.000000,Máquinas e Equipamentos,Estágio,Produção / Operações
2818,Estágio em Marketing de Produto / Curitiba,2023-04-17 12:56:00.000000,2023-05-14 12:56:00.000000,Máquinas e Equipamentos,Estágio,Marketing / Comunicação
2838,Estágio em Qualidade Central Manufatura - CLM / Sorocaba,2023-04-18 21:09:36.599474,2023-05-14 21:08:00.000000,Máquinas e Equipamentos,Estágio,Produção / Operações
2935,Estagio em Compras - Contagem,2023-05-30 20:57:09.622407,2023-06-19 02:59:00.000000,Máquinas e Equipamentos,Estágio,Comercial / Vendas
2775,Estágio em Sistemas da Qualidade,2023-04-28 17:30:00.000000,2023-07-06 02:59:00.000000,Química,Estágio,Produção / Operações
2946,Estágio corporativo Defensivos Brasil - Portifólio,2023-06-12 20:30:00.000000,2023-07-19 02:59:00.000000,Agronegócios,Estágio,Logística / Supply Chain
2940,Estágio Assuntos Regulatórios,2023-06-12 20:33:00.000000,2023-07-19 02:59:00.000000,Agronegócios,Estágio,Juridico
2686,Estágio em Marketing Intelligence - CRM – Sorocaba,2023-02-23 15:39:26.000000,2023-03-24 01:59:00.000000,Máquinas e Equipamentos,Estágio,Marketing / Comunicação
2692,Estágio em Engenharia de Produto – Sorocaba,2023-02-23 15:55:37.000000,2023-03-23 15:55:00.000000,Máquinas e Equipamentos,Estágio,Engenharia
2696,Estágio em Qualidade e Comportamento do Produto - Sorocaba,2023-02-23 16:04:04.000000,2023-03-23 16:03:00.000000,Máquinas e Equipamentos,Estágio,Produção / Operações
2713,Estágio no time de Design Analysis & Simulation - Curitiba,2023-02-23 16:51:04.000000,2023-03-23 16:50:00.000000,Máquinas e Equipamentos,Estágio,Tecnologia
2709,Estágio Comércio Exterior no Protótipo - Curitiba,2023-02-23 16:38:29.000000,2023-03-23 16:38:00.000000,Máquinas e Equipamentos,Estágio,Comercial / Vendas
2798,Estágio em HSE,2023-03-30 17:20:00.000000,2023-04-12 02:59:00.000000,Indústria,Estágio,Engenharia
2826,Estágio Logística / Piracicaba,2023-04-17 13:19:00.000000,2023-06-28 02:59:00.000000,Máquinas e Equipamentos,Estágio,Logística / Supply Chain
2889,Programa de Estágio,2023-05-15 11:34:00.000000,2023-07-03 02:59:00.000000,Alimentos,Estágio,Logística / Supply Chain
2800,Estágio em Melhoria Contínua - Nova Lima,2023-04-04 02:59:00.000000,2023-04-17 02:59:00.000000,Máquinas e Equipamentos,Estágio,Administrativo
2801,Estágio em Controladoria – Sorocaba,2023-04-04 14:09:08.555171,2023-04-10 02:59:00.000000,Máquinas e Equipamentos,Estágio,Administrativo
2888,Estágio em Demanda,2023-05-17 12:20:00.000000,2023-07-01 02:59:00.000000,Química,Estágio,Logística / Supply Chain
2926,Estágio em Logística de Transporte – Sorocaba,2023-05-29 20:10:43.356166,2023-06-12 02:59:00.000000,Máquinas e Equipamentos,Estágio,Logística / Supply Chain
2930,Estágio em Marketing e Comunicação – Sorocaba,2023-05-29 20:29:50.038637,2023-06-11 20:29:00.000000,Máquinas e Equipamentos,Estágio,Marketing / Comunicação
2846,Sales Person -ISL ONLINE,2023-05-30 12:46:00.000000,2023-06-06 02:59:00.000000,Tecnologia e Informática,Prestador de Serviços/PJ,Comercial / Vendas
2932,Estagio em Finance Transformation - Contagem,2023-05-30 20:36:29.309701,2023-06-19 02:59:00.000000,Máquinas e Equipamentos,Estágio,Tecnologia
2936,Estágio Qualidade Industrial - Contagem,2023-05-30 21:01:44.792953,2023-06-18 21:00:00.000000,Máquinas e Equipamentos,Estágio,Engenharia
2939,Estágio em SCH - Product Validation - Piracicaba,2023-05-31 12:51:57.758139,2023-06-18 12:51:00.000000,Máquinas e Equipamentos,Estágio,Tecnologia
2813,Estágio em Administração de Vendas – Segmento Construção / Contagem,2023-04-17 12:40:00.000000,2023-05-14 12:38:00.000000,Máquinas e Equipamentos,Estágio,Comercial / Vendas
2817,Estágio em Logística / Curitiba,2023-04-17 12:53:00.000000,2023-05-14 12:53:00.000000,Máquinas e Equipamentos,Estágio,Logística / Supply Chain
2819,Estágio em Operações - Formalização / Curitiba,2023-04-17 12:59:00.000000,2023-05-14 12:59:00.000000,Máquinas e Equipamentos,Estágio,Juridico
2824,Estágio em Qualidade / Piracicaba,2023-04-17 13:15:00.000000,2023-05-14 13:15:00.000000,Máquinas e Equipamentos,Estágio,Engenharia
2825,Estágio Analysis & Validation / Piracicaba,2023-04-17 13:17:00.000000,2023-05-14 13:17:00.000000,Máquinas e Equipamentos,Estágio,Engenharia
2770,Estágio em Administração de Vendas Mercado Nacional – Sorocaba,2023-03-10 13:15:42.165083,2023-03-24 02:59:00.000000,Máquinas e Equipamentos,Estágio,Administrativo
2772,Estágio em PP&C – Sorocaba,2023-03-10 13:20:24.429704,2023-03-24 02:59:00.000000,Máquinas e Equipamentos,Estágio,Engenharia
2778,Engenharia de Produto / Contagem,2023-03-14 13:03:08.822102,2023-03-24 02:59:00.000000,Máquinas e Equipamentos,Estágio,Engenharia
2780,Estágio em Marketing e Comunicações - Contagem,2023-03-14 13:09:06.403649,2023-03-24 02:59:00.000000,Máquinas e Equipamentos,Estágio,Marketing / Comunicação
2760,Estágio em Consultoria Salesforce,2023-03-06 14:04:00.000000,2023-03-23 02:59:00.000000,Tecnologia e Informática,Estágio,Comercial / Vendas
2751,Estágio em Laboratório,2023-03-09 13:20:00.000000,2023-03-25 02:59:00.000000,Indústria,Estágio,Produção / Operações
2835,Estágio em Engenharia de Produção / Sorocaba,2023-04-18 20:58:33.363562,2023-05-14 20:54:00.000000,Máquinas e Equipamentos,Estágio,Engenharia
2836,Estágio em Compras Parts & Service / Sorocaba,2023-04-18 21:03:11.934697,2023-05-14 21:02:00.000000,Máquinas e Equipamentos,Estágio,Comercial / Vendas
2794,ASSISTENTE DE ATENDIMENTO,2023-03-28 13:20:00.000000,2023-04-10 02:59:00.000000,Distribuidores,CLT,Administrativo
2834,Estágio em Comunicação / Sorocaba,2023-04-18 20:48:24.000000,2023-05-14 20:47:00.000000,Máquinas e Equipamentos,Estágio,Marketing / Comunicação
2797,ESTÁGIO EM LOGÍSTICA,2023-03-29 17:55:00.000000,2023-04-11 02:59:00.000000,Distribuidores,Estágio,Logística / Supply Chain
2679,Estágio em Setor Comercial de Máquinas Agrícolas – Sorocaba,2023-02-23 15:22:30.000000,2023-03-24 02:59:00.000000,Máquinas e Equipamentos,Estágio,Comercial / Vendas
2711,Engenharia do Produto Colheitadeiras - Curitiba,2023-02-23 16:44:05.000000,2023-03-23 16:43:00.000000,Máquinas e Equipamentos,Estágio,Engenharia
2706,Estágio Eng. Produto Tratores - Technical Functions- Curitiba,2023-02-23 16:30:23.000000,2023-03-23 16:29:00.000000,Máquinas e Equipamentos,Estágio,Engenharia
2799,Estágio Auditória Interna - Nova Lima,2023-04-03 17:37:00.000000,2023-04-17 02:59:00.000000,Máquinas e Equipamentos,Estágio,Juridico
