user_id,name
1896,Engenharia
1896,RH
1896,Administrativo
1896,Marketing / Comunicação
1896,Produção / Operações
1896,Logistica / Supply Chain
1902,Comercial / Vendas
1902,Engenharia
1902,Produção / Operações
6957,Tecnologia
10909,Marketing / Comunicação
10940,Tecnologia
13614,Tecnologia
13614,Administrativo
13614,Logistica / Supply Chain
13748,Comercial / Vendas
13748,Engenharia
13748,RH
13748,Administrativo
13748,Marketing / Comunicação
13748,Finanças / Contabilidade
13748,Produção / Operações
13748,Logistica / Supply Chain
14549,RH
15565,Administrativo
15565,Produção / Operações
15565,Logistica / Supply Chain
18151,Engenharia
18151,Tecnologia
18151,Administrativo
18151,Marketing / Comunicação
24034,Jurídico
24034,Administrativo
24353,Comercial / Vendas
24353,Tecnologia
24353,Marketing / Comunicação
25895,Engenharia
25895,RH
25895,Administrativo
25895,Finanças / Contabilidade
25895,Produção / Operações
25895,Logistica / Supply Chain
26576,Tecnologia
26576,Produção / Operações
26963,Tecnologia
26963,Marketing / Comunicação
26963,Produção / Operações
27344,Comercial / Vendas
27344,Produção / Operações
27344,Logistica / Supply Chain
27383,Engenharia
29729,Jurídico
31278,Engenharia
31278,Tecnologia
31278,RH
31278,Produção / Operações
31278,Logistica / Supply Chain
33066,RH
33066,Saúde
35518,RH
35518,Administrativo
38513,Tecnologia
39920,Tecnologia
39920,RH
40016,Tecnologia
40016,Administrativo
40016,Marketing / Comunicação
40016,Produção / Operações
41400,Tecnologia
41400,RH
41400,Administrativo
41400,Finanças / Contabilidade
43711,Engenharia
43711,Produção / Operações
43711,Logistica / Supply Chain
44715,Engenharia
45758,Tecnologia
47876,Engenharia
53824,Comercial / Vendas
53824,Jurídico
53824,Administrativo
54157,Comercial / Vendas
54157,Tecnologia
54157,Administrativo
54157,Finanças / Contabilidade
54157,Produção / Operações
54157,Logistica / Supply Chain
57143,Comercial / Vendas
57143,Tecnologia
57143,Administrativo
57143,Marketing / Comunicação
57143,Finanças / Contabilidade
57143,Produção / Operações
57143,Logistica / Supply Chain
59063,Comercial / Vendas
59063,Engenharia
59063,Tecnologia
59063,RH
59063,Jurídico
59063,Saúde
59063,Administrativo
59063,Marketing / Comunicação
59063,Finanças / Contabilidade
59063,Produção / Operações
59063,Logistica / Supply Chain
63081,Engenharia
63081,Tecnologia
63081,Administrativo
63081,Marketing / Comunicação
63081,Finanças / Contabilidade
63081,Logistica / Supply Chain
65163,RH
65163,Administrativo
65163,Finanças / Contabilidade
65163,Logistica / Supply Chain
65285,Engenharia
65285,Tecnologia
65285,Administrativo
66310,Tecnologia
68411,Engenharia
68411,Finanças / Contabilidade
68411,Produção / Operações
68411,Logistica / Supply Chain
69390,Engenharia
69390,Tecnologia
69390,Produção / Operações
69390,Logistica / Supply Chain
71291,Comercial / Vendas
71291,Engenharia
71291,Tecnologia
71291,Administrativo
71291,Logistica / Supply Chain
74002,Comercial / Vendas
74002,Administrativo
74002,Marketing / Comunicação
74002,Finanças / Contabilidade
74002,Logistica / Supply Chain
74630,Tecnologia
78426,Produção / Operações
78426,Comercial / Vendas
78426,Tecnologia
82749,Administrativo
82749,Finanças / Contabilidade
82749,Logistica / Supply Chain
85917,Tecnologia
85917,Saúde
85917,Administrativo
85917,Produção / Operações
86385,Comercial / Vendas
86385,Engenharia
86385,Administrativo
86385,Finanças / Contabilidade
86385,Produção / Operações
86385,Logistica / Supply Chain
87070,Tecnologia
87070,Marketing / Comunicação
87070,Finanças / Contabilidade
87070,Logistica / Supply Chain
89795,Comercial / Vendas
89795,Engenharia
89795,Tecnologia
89795,Administrativo
89795,Marketing / Comunicação
89795,Finanças / Contabilidade
89795,Produção / Operações
94310,Marketing / Comunicação
102256,Comercial / Vendas
102256,Administrativo
102256,Produção / Operações
102256,Logistica / Supply Chain
107778,RH
107778,Administrativo
112628,Comercial / Vendas
112628,Engenharia
112628,Tecnologia
112628,Administrativo
112628,Finanças / Contabilidade
112628,Produção / Operações
112628,Logistica / Supply Chain
114591,Tecnologia
114591,Saúde
118684,Saúde
119257,Comercial / Vendas
119257,Tecnologia
119257,RH
119257,Administrativo
119257,Marketing / Comunicação
119257,Produção / Operações
119257,Logistica / Supply Chain
119517,Comercial / Vendas
119517,Administrativo
119517,Finanças / Contabilidade
120409,Tecnologia
120409,RH
120409,Jurídico
120409,Administrativo
120409,Finanças / Contabilidade
120409,Logistica / Supply Chain
121560,Comercial / Vendas
121560,Engenharia
121560,Finanças / Contabilidade
121560,Produção / Operações
121560,Logistica / Supply Chain
125636,Comercial / Vendas
125636,Tecnologia
125636,Jurídico
125636,Administrativo
125636,Marketing / Comunicação
125724,Comercial / Vendas
125724,Administrativo
125724,Marketing / Comunicação
126869,Comercial / Vendas
126869,RH
126869,Administrativo
126869,Marketing / Comunicação
126869,Finanças / Contabilidade
129238,Engenharia
129238,Tecnologia
129238,Administrativo
129238,Produção / Operações
130341,Comercial / Vendas
130341,Engenharia
130341,Tecnologia
130341,Produção / Operações
130341,Logistica / Supply Chain
130871,RH
130871,Jurídico
130871,Administrativo
130871,Marketing / Comunicação
130982,Tecnologia
130982,Administrativo
130982,Finanças / Contabilidade
132074,Tecnologia
132074,Finanças / Contabilidade
133655,RH
133655,Administrativo
133655,Marketing / Comunicação
133655,Produção / Operações
134048,Tecnologia
134048,RH
134048,Marketing / Comunicação
137149,Engenharia
137149,Tecnologia
142474,Produção / Operações
142474,Comercial / Vendas
142474,Marketing / Comunicação
142474,Tecnologia
144803,Jurídico
146565,Tecnologia
146565,RH
146565,Marketing / Comunicação
147578,Jurídico
148176,Engenharia
148176,Produção / Operações
148176,Logistica / Supply Chain
148912,Comercial / Vendas
148912,RH
148912,Saúde
148912,Administrativo
151158,Comercial / Vendas
151158,Administrativo
151158,Marketing / Comunicação
151158,Produção / Operações
162889,Comercial / Vendas
162889,Tecnologia
162889,RH
162889,Administrativo
162889,Marketing / Comunicação
162889,Finanças / Contabilidade
164751,Engenharia
164751,Tecnologia
164751,Administrativo
164751,Produção / Operações
165551,Produção / Operações
165551,Comercial / Vendas
165551,Finanças / Contabilidade
166089,Comercial / Vendas
166089,Engenharia
166089,Tecnologia
166089,Administrativo
166089,Produção / Operações
166089,Logistica / Supply Chain
166727,Engenharia
166727,Administrativo
166727,Finanças / Contabilidade
166727,Produção / Operações
169379,Tecnologia
169379,RH
169379,Administrativo
169379,Marketing / Comunicação
169379,Finanças / Contabilidade
169379,Produção / Operações
169379,Logistica / Supply Chain
171262,RH
171262,Administrativo
171378,Produção / Operações
171378,Logistica / Supply Chain
171378,Marketing / Comunicação
171378,Tecnologia
171378,RH
177642,Engenharia
177642,Administrativo
177642,Produção / Operações
177642,Logistica / Supply Chain
177773,Tecnologia
177773,Marketing / Comunicação
177773,Produção / Operações
178193,Comercial / Vendas
178193,Engenharia
178193,Tecnologia
178193,RH
178193,Administrativo
178193,Produção / Operações
178193,Logistica / Supply Chain
181184,Comercial / Vendas
181184,Engenharia
181184,Tecnologia
181184,Saúde
181184,Administrativo
181184,Marketing / Comunicação
181184,Produção / Operações
181184,Logistica / Supply Chain
182957,Marketing / Comunicação
184842,Administrativo
184842,Marketing / Comunicação
184842,Finanças / Contabilidade
188812,Logistica / Supply Chain
188812,Comercial / Vendas
188812,Marketing / Comunicação
188812,Tecnologia
192112,Engenharia
192112,Tecnologia
192112,RH
192112,Administrativo
192112,Marketing / Comunicação
192112,Finanças / Contabilidade
192112,Produção / Operações
192112,Logistica / Supply Chain
192388,RH
192736,Comercial / Vendas
192736,Engenharia
192736,Tecnologia
192736,Administrativo
192736,Finanças / Contabilidade
192736,Produção / Operações
192736,Logistica / Supply Chain
193263,Comercial / Vendas
193263,Tecnologia
193263,Produção / Operações
193293,Comercial / Vendas
194274,Marketing / Comunicação
194274,Tecnologia
195628,RH
195628,Jurídico
195764,RH
195764,Administrativo
195764,Finanças / Contabilidade
195764,Produção / Operações
196131,Tecnologia
196177,Comercial / Vendas
196177,Tecnologia
196177,Marketing / Comunicação
196546,Comercial / Vendas
196546,Engenharia
196546,Administrativo
196546,Marketing / Comunicação
196546,Produção / Operações
198708,Tecnologia
198708,Saúde
202009,Comercial / Vendas
202009,Administrativo
202009,Finanças / Contabilidade
202009,Logistica / Supply Chain
202923,Comercial / Vendas
202923,Jurídico
202923,Saúde
202923,Marketing / Comunicação
202923,Produção / Operações
207373,Comercial / Vendas
207373,Engenharia
207373,Administrativo
207373,Produção / Operações
207373,Logistica / Supply Chain
207845,Logistica / Supply Chain
207845,Produção / Operações
207845,Comercial / Vendas
210313,Comercial / Vendas
210313,Engenharia
210313,Tecnologia
210313,Administrativo
210313,Finanças / Contabilidade
210313,Produção / Operações
210353,Logistica / Supply Chain
210353,Produção / Operações
210920,Engenharia
210920,Produção / Operações
210920,Logistica / Supply Chain
210999,Finanças / Contabilidade
213157,Engenharia
213157,Tecnologia
213157,Produção / Operações
213413,RH
213607,Marketing / Comunicação
214882,Engenharia
214882,Tecnologia
214882,Administrativo
214882,Marketing / Comunicação
214882,Produção / Operações
214882,Logistica / Supply Chain
216011,Comercial / Vendas
216011,Administrativo
216011,Marketing / Comunicação
220721,Engenharia
220721,Tecnologia
220721,Administrativo
220721,Produção / Operações
220721,Logistica / Supply Chain
221449,Tecnologia
221449,Marketing / Comunicação
221449,Logistica / Supply Chain
221532,Produção / Operações
221704,Engenharia
221704,Tecnologia
221704,Logistica / Supply Chain
225020,Engenharia
225020,Tecnologia
225782,Comercial / Vendas
225782,Tecnologia
225782,Administrativo
230509,Comercial / Vendas
230509,RH
230509,Administrativo
231042,Tecnologia
232597,Logistica / Supply Chain
232597,Tecnologia
232597,Finanças / Contabilidade
232634,Finanças / Contabilidade
232694,Tecnologia
232694,Administrativo
233659,Tecnologia
233659,Jurídico
233659,Administrativo
233659,Finanças / Contabilidade
233824,Engenharia
233824,Administrativo
233824,Finanças / Contabilidade
233824,Produção / Operações
233824,Logistica / Supply Chain
235238,Logistica / Supply Chain
235238,Produção / Operações
235238,Finanças / Contabilidade
235238,Comercial / Vendas
235238,Marketing / Comunicação
235238,Tecnologia
235238,RH
235459,Engenharia
235459,Tecnologia
235459,Administrativo
235459,Logistica / Supply Chain
236439,Tecnologia
236439,RH
236439,Administrativo
236439,Finanças / Contabilidade
236439,Produção / Operações
236439,Logistica / Supply Chain
236648,Comercial / Vendas
236648,Engenharia
236648,Tecnologia
236648,Produção / Operações
236648,Logistica / Supply Chain
237028,Engenharia
237028,Administrativo
237028,Finanças / Contabilidade
237028,Logistica / Supply Chain
237165,Tecnologia
237335,Jurídico
237335,Administrativo
239354,Produção / Operações
239354,Logistica / Supply Chain
239354,Comercial / Vendas
239354,Tecnologia
239354,RH
239354,Finanças / Contabilidade
239660,Logistica / Supply Chain
239660,Produção / Operações
239786,Produção / Operações
239786,Logistica / Supply Chain
239786,Comercial / Vendas
239786,Finanças / Contabilidade
240279,Produção / Operações
240337,Marketing / Comunicação
240710,Engenharia
240710,Produção / Operações
240710,Logistica / Supply Chain
241360,Tecnologia
241360,Marketing / Comunicação
241864,RH
241864,Jurídico
241864,Administrativo
241864,Marketing / Comunicação
242002,RH
242002,Administrativo
242002,Marketing / Comunicação
242002,Logistica / Supply Chain
242050,Comercial / Vendas
242050,RH
242050,Administrativo
242050,Finanças / Contabilidade
242773,Engenharia
242773,Tecnologia
242773,RH
