user_id,key,superfit_dis,superfit_sin,superfit_cur,superfit_int,superfit_eng,superfit_res
1111055,SF_DS,78.00,62.00,50.00,56.00,52.00,60.00
1309072,SF_DS,64.00,62.00,44.00,54.00,54.00,60.00
1135921,SF_DS,68.00,58.00,34.00,32.00,52.00,52.00
1104635,SF_DS,50.00,54.00,36.00,48.00,46.00,38.00
1128710,SF_DS,64.00,46.00,22.00,32.00,30.00,44.00
1111083,SF_DS,64.00,52.00,40.00,46.00,28.00,46.00
1116889,SF_DS,46.00,44.00,34.00,22.00,40.00,42.00
1403818,SF_DS,50.00,56.00,30.00,30.00,40.00,42.00
1295818,SF_DS,70.00,64.00,56.00,58.00,50.00,52.00
1067493,SF_DS,50.00,46.00,40.00,40.00,36.00,44.00
1098764,SF_DS,60.00,50.00,48.00,46.00,42.00,46.00
1296771,SF_DS,54.00,48.00,22.00,30.00,38.00,42.00
1297587,SF_DS,58.00,68.00,28.00,56.00,46.00,56.00
1374159,SF_DS,60.00,56.00,52.00,54.00,46.00,52.00
1313022,SF_DS,54.00,52.00,38.00,38.00,36.00,48.00
1140602,SF_DS,60.00,50.00,36.00,42.00,32.00,48.00
1117416,SF_DS,70.00,52.00,34.00,40.00,46.00,44.00
1195663,SF_DS,50.00,52.00,44.00,46.00,36.00,48.00
1093286,SF_DS,40.00,36.00,30.00,34.00,34.00,32.00
1115547,SF_DS,46.00,48.00,44.00,42.00,40.00,38.00
1107340,SF_DS,50.00,54.00,44.00,48.00,38.00,48.00
1370774,SF_DS,70.00,58.00,38.00,54.00,44.00,52.00
1373523,SF_DS,52.00,56.00,48.00,46.00,44.00,48.00
1298572,SF_DS,54.00,52.00,40.00,38.00,44.00,46.00
1392539,SF_DS,62.00,56.00,52.00,50.00,40.00,46.00
1100055,SF_DS,52.00,58.00,36.00,46.00,32.00,42.00
1053479,SF_DS,60.00,48.00,24.00,40.00,44.00,44.00
667536,SF_DS,68.00,62.00,34.00,58.00,34.00,42.00
1092533,SF_DS,62.00,60.00,58.00,54.00,58.00,52.00
1304132,SF_DS,52.00,48.00,42.00,46.00,40.00,46.00
552579,SF_DS,54.00,50.00,44.00,48.00,38.00,48.00
1141432,SF_DS,66.00,64.00,54.00,36.00,42.00,50.00
1393057,SF_DS,62.00,54.00,42.00,52.00,44.00,38.00
1081795,SF_DS,60.00,52.00,42.00,46.00,46.00,44.00
1115838,SF_DS,68.00,60.00,50.00,44.00,56.00,50.00
1270412,SF_DS,56.00,50.00,34.00,34.00,26.00,42.00
1392268,SF_DS,54.00,50.00,44.00,44.00,48.00,40.00
1374186,SF_DS,48.00,46.00,36.00,38.00,20.00,44.00
1102130,SF_DS,60.00,58.00,54.00,38.00,40.00,56.00
1386646,SF_DS,52.00,54.00,20.00,36.00,38.00,40.00
1031153,SF_DS,64.00,62.00,50.00,52.00,48.00,60.00
1087803,SF_DS,52.00,54.00,34.00,50.00,40.00,46.00
1088926,SF_DS,50.00,46.00,32.00,44.00,38.00,42.00
1112887,SF_DS,68.00,66.00,48.00,62.00,52.00,54.00
600337,SF_DS,58.00,48.00,36.00,36.00,38.00,36.00
1140192,SF_DS,64.00,62.00,40.00,44.00,38.00,50.00
1131580,SF_DS,74.00,56.00,32.00,52.00,40.00,54.00
890852,SF_DS,56.00,62.00,46.00,40.00,54.00,52.00
1097198,SF_DS,54.00,46.00,40.00,30.00,28.00,34.00
1130011,SF_DS,48.00,54.00,36.00,34.00,28.00,38.00
1070998,SF_DS,54.00,50.00,30.00,42.00,26.00,46.00
537030,SF_DS,52.00,50.00,30.00,42.00,44.00,38.00
1210689,SF_DS,70.00,54.00,48.00,40.00,36.00,44.00
1100280,SF_DS,44.00,46.00,40.00,28.00,42.00,22.00
1100680,SF_DS,70.00,56.00,32.00,52.00,36.00,46.00
1136670,SF_DS,78.00,64.00,48.00,50.00,62.00,56.00
1089033,SF_DS,64.00,62.00,56.00,56.00,52.00,60.00
1057658,SF_DS,58.00,54.00,48.00,48.00,46.00,42.00
998735,SF_DS,68.00,60.00,38.00,58.00,52.00,38.00
1141761,SF_DS,64.00,54.00,48.00,48.00,44.00,52.00
1298526,SF_DS,54.00,48.00,36.00,34.00,44.00,46.00
1301448,SF_DS,54.00,48.00,44.00,34.00,44.00,44.00
1122237,SF_DS,64.00,50.00,46.00,48.00,42.00,46.00
1317436,SF_DS,42.00,40.00,32.00,36.00,28.00,36.00
1093792,SF_DS,36.00,28.00,20.00,22.00,26.00,18.00
1120374,SF_DS,50.00,48.00,22.00,42.00,30.00,40.00
1088242,SF_DS,48.00,44.00,30.00,40.00,32.00,38.00
1128176,SF_DS,60.00,52.00,38.00,50.00,44.00,42.00
1113550,SF_DS,62.00,58.00,44.00,56.00,54.00,52.00
1208028,SF_DS,62.00,64.00,60.00,52.00,52.00,60.00
1295084,SF_DS,52.00,54.00,48.00,48.00,48.00,44.00
1392670,SF_DS,66.00,64.00,38.00,58.00,60.00,58.00
532855,SF_DS,56.00,66.00,54.00,50.00,46.00,48.00
1400834,SF_DS,68.00,50.00,38.00,40.00,38.00,48.00
1316075,SF_DS,72.00,72.00,54.00,70.00,56.00,56.00
1133604,SF_DS,48.00,46.00,24.00,34.00,26.00,38.00
1121128,SF_DS,68.00,64.00,48.00,54.00,56.00,60.00
1113583,SF_DS,68.00,60.00,54.00,58.00,54.00,56.00
1105013,SF_DS,62.00,56.00,50.00,50.00,48.00,52.00
1104166,SF_DS,68.00,52.00,40.00,42.00,36.00,48.00
1114217,SF_DS,44.00,48.00,30.00,42.00,42.00,24.00
1297632,SF_DS,60.00,54.00,38.00,44.00,46.00,38.00
1125210,SF_DS,56.00,54.00,22.00,36.00,30.00,46.00
1088752,SF_DS,46.00,40.00,30.00,34.00,22.00,36.00
1116197,SF_DS,32.00,30.00,26.00,28.00,24.00,28.00
1082188,SF_DS,54.00,48.00,46.00,42.00,36.00,44.00
1155034,SF_DS,60.00,56.00,36.00,50.00,40.00,38.00
1286675,SF_DS,66.00,60.00,50.00,50.00,56.00,56.00
1139431,SF_DS,68.00,64.00,48.00,58.00,54.00,52.00
1402182,SF_DS,56.00,48.00,24.00,38.00,42.00,46.00
1088428,SF_DS,48.00,50.00,34.00,46.00,40.00,30.00
1122331,SF_DS,60.00,58.00,46.00,56.00,54.00,50.00
1143565,SF_DS,60.00,50.00,30.00,42.00,46.00,42.00
1102846,SF_DS,56.00,54.00,28.00,44.00,26.00,44.00
1278314,SF_DS,58.00,48.00,24.00,34.00,36.00,34.00
1123492,SF_DS,56.00,58.00,40.00,54.00,52.00,48.00
1372166,SF_DS,56.00,54.00,26.00,44.00,38.00,48.00
1133209,SF_DS,54.00,70.00,38.00,38.00,52.00,42.00
1112749,SF_DS,56.00,58.00,34.00,54.00,30.00,44.00
610486,SF_DS,52.00,48.00,34.00,46.00,38.00,44.00
1311028,SF_DS,66.00,56.00,38.00,54.00,46.00,52.00
1108298,SF_DS,40.00,38.00,24.00,34.00,34.00,36.00
1307676,SF_DS,64.00,52.00,40.00,42.00,38.00,50.00
1126562,SF_DS,68.00,70.00,42.00,58.00,54.00,62.00
1313266,SF_DS,56.00,62.00,46.00,36.00,46.00,54.00
1021995,SF_DS,58.00,62.00,30.00,44.00,48.00,52.00
1134246,SF_DS,64.00,60.00,40.00,46.00,30.00,56.00
